Metabolite,PC3_con1,PC3_con2,PC3_con3,PC3_con4,PC3_con5,PC3_con6,PC3_S1,PC3_S2,PC3_S3,PC3_S4,PC3_S5,PC3_S6
metab_16208,2148.32211,2145.747521,2120.702965,2426.340744,3289.858598,3809.28825,1480.522314,2239.493113,2329.753644,2365.576722,3076.105477,1779.001122
metab_16209,3730.236513,3378.711205,1446.111168,2710.830906,2636.051298,4858.019886,3040.644874,1452.562011,1380.788203,2283.830006,1946.520458,1785.388075
metab_16210,4913.922246,4137.5345,3914.44315,12020.01091,2490.778626,9412.128355,6903.887741,6962.161186,3321.231333,2427.110125,5494.542188,10390.64218
metab_16211,762.9787602,657.493113,837.7785679,886.3141003,25780.92742,18811.31539,8102.743439,7134.042385,5860.819198,5711.778521,4378.954595,5048.29346
metab_16212,2709.785064,729.6929967,1105.041512,1705.762566,2537.114862,2079.419172,2785.211777,2725.08228,1785.074616,2193.272739,3287.353712,1802.812971
metab_16213,1375.866081,1206.004437,983.1819734,817.7247505,1325.300292,773.1226551,1523.022832,1316.93231,1309.894881,1720.459727,1105.206194,1668.427469
metab_16214,1657.97757,1872.910872,1311.581055,1507.883056,1596.886322,1496.038097,1638.777033,1524.680181,1643.369367,1855.283739,1548.734797,1827.423695
metab_16215,713.3466296,1301.326546,1281.384589,554.8428952,0,616.4782986,3861.746641,1695.667211,436.5333361,1309.529835,968.8732127,564.3679758
metab_16216,0,0,3589.455054,0,0,0,1722.083788,1069.328678,2253.784818,490.8864476,1954.221965,0
metab_16217,33966.33979,34741.16587,20859.25592,44680.62151,9645.246908,43044.91725,24039.90884,31445.67655,9841.281124,21469.33556,38625.30691,37983.2518
metab_16218,2099.966838,1675.003704,1303.074748,1435.467645,1952.351292,1312.028578,1626.907211,1304.217445,1372.639981,2186.54401,1877.226913,1810.139252
metab_16219,6375.362003,1520.873848,1841.782173,2165.205475,2508.934235,1813.746557,3285.548622,1917.416491,2561.765266,2270.028298,2954.478834,2019.283851
"2,3-Dihydroxyoctanoic Acid",1701.720234,1945.64997,1713.52715,2196.164902,9326.214951,8019.31152,4317.02069,4242.399401,3231.240042,4366.788456,3214.302294,4050.962745
metab_16221,2620.328577,2536.264228,2145.292057,2298.486185,3085.032909,3049.253319,2081.1811,2393.053191,1914.059847,1962.849376,1852.62689,2413.290699
metab_16222,0,0,0,0,2220.865493,1656.572167,554.4431604,658.8743695,436.3003691,523.9171193,524.9987713,291.8947995
metab_16223,415.2068916,90.67558385,85.33239615,118.1490449,140.813904,666.427409,260.3458802,280.3724041,127.3922642,486.8580124,448.6780781,0
metab_16224,506.4382793,518.3688424,0,3970.205772,0,5061.974803,5391.980627,2403.393328,0,0,1189.910699,7723.424397
metab_16225,0,1763.368934,9873.964404,0,0,0,5348.337111,4369.994322,5877.827244,0,7628.697821,0
metab_16226,4543.121553,694.8731134,0,4562.035009,0,16316.32572,18154.51826,11526.84004,0,0,5544.680753,4933.362578
metab_16227,3368.664371,2115.364158,2673.740457,3883.577213,5965.567125,0,3547.854988,2456.350797,2335.231719,3183.977847,2824.073726,2998.113868
metab_16228,2829.64828,2084.304264,180.4647216,3201.295234,92.20870546,9786.0054,9617.153894,8017.951894,105.9098387,146.7065783,4200.657349,4139.71555
metab_16229,8969.2132,8409.771191,6421.578745,7790.953411,7504.125604,8577.590888,6934.130007,5987.228572,5956.590998,7579.806094,6309.642091,7623.808409
metab_16230,606.6497273,414.5817415,433.5206745,504.9420635,1193.098782,872.8380729,637.4878956,550.6980081,639.1919438,774.9181726,678.4158914,618.5648221
metab_16231,1285.05508,2091.741302,2441.616079,483.9816798,896.8972604,2131.241944,3907.036367,2708.427116,1973.533527,0,938.5333938,1029.986341
metab_16232,4481.051131,1671.71599,729.6308845,13261.8901,4692.785754,8775.44851,0,0,0,4990.071658,19.39001312,10560.39503
metab_16233,538.4827548,414.7723194,783.5348969,520.820751,9336.904973,5483.072021,3759.436397,2191.763785,1567.110176,2094.165937,1452.880386,1526.80538
metab_16234,3416.655006,435.2695009,0,3996.188105,0,747.5096721,5138.179375,9606.205144,0,0,2962.222111,2069.023489
Edta Oxalate,6256.040318,5907.929759,5338.131725,5585.456757,5542.000168,5899.835221,5166.11208,5865.658,5050.385017,5077.46816,6171.368846,5025.399523
metab_16236,1135.207541,83.95123031,235.6670154,2033.510013,1085.539101,2113.659058,287.935632,483.5142518,150.3103075,1276.434504,115.8239943,2194.504979
metab_16237,0,2905.75169,2475.171318,0,1271.264132,2641.358211,7488.851413,2701.418574,1601.284783,531.4604771,3595.726147,771.7848579
metab_16238,1085.767264,1008.661009,4905.244532,2425.410959,459.8875285,1489.491898,3972.2088,3864.029655,3804.360976,1298.400729,5248.154152,0
"1,4-Cyclohexanedicarboxylic Acid",13239.96435,14563.16491,12907.31299,14310.68271,21616.00804,19826.76175,16053.77992,21351.31095,19565.51586,17208.39115,16129.39473,17073.52905
metab_16240,0,0,0,10423.29444,9.270130069,16412.3655,547.381504,0,0,0,0,16835.74333
metab_16241,6707.969017,4082.007081,0,20566.27895,0,31361.51174,21826.57796,12201.28286,0,0,9931.709122,26761.3782
metab_16242,1829.745011,2835.025077,6729.477748,2036.577752,644.9151368,1472.199525,7668.36506,3461.602026,4194.678366,2147.885884,4303.761811,2636.568828
Lucyoside M,6829.107404,21401.1044,46503.64764,8495.636136,4151.731739,8679.770943,32801.65286,30082.38902,33067.35961,7989.277847,31189.50084,5562.539108
metab_16244,28262.45695,20870.99184,10517.64181,30973.03687,27147.5806,30210.59264,16115.91972,14319.27652,11922.35082,27812.98729,13062.45718,29593.98743
metab_16245,1280.05427,949.4545385,1084.289402,2620.500526,920.424196,1106.995375,1808.50168,1658.527744,2367.259611,1860.065126,2624.891431,2923.96561
metab_16246,937.9877563,1615.375827,0,3541.692552,0,0,4190.080117,948.6860541,0,939.1727319,1631.731838,0
metab_16247,2638.035354,3471.02895,3424.512886,4385.190137,3290.927038,6009.080438,12196.72904,10960.42351,11759.70002,8033.294116,10949.08297,13323.83398
metab_16248,6553.042128,2881.108167,3524.669932,4230.517109,3824.309551,7604.992718,4692.460212,2296.865782,4010.81446,5884.772443,3751.884476,5127.855666
metab_16249,2001.413156,2124.246541,1959.177264,1498.794243,3551.921943,4806.957644,5359.615302,4194.528781,2803.19171,4258.635987,3056.683973,3575.728875
metab_16250,3348.20148,3192.999328,2269.583737,3568.795836,4554.569158,4514.651465,5115.330058,4531.687633,4655.042244,3715.395813,4632.480626,5610.883355
metab_16251,4772.4578,5480.643824,5225.983665,5543.587768,5257.440276,6621.36279,8002.876069,7518.566636,7701.051754,7048.810031,7466.973189,8767.227139
metab_16252,1301.382249,1409.532856,1198.308184,1808.827478,0,997.0752407,1917.201449,1930.084663,2408.256064,1534.965301,2008.589208,2526.40427
metab_16253,103113.7254,105899.6985,107970.1711,114880.2445,100703.1935,125232.9119,165031.0263,154346.2854,151005.6566,138708.3057,163723.3837,166380.1997
metab_16254,1426.9372,2072.952909,1698.773204,2770.33715,2552.425722,2582.552524,10639.02173,6638.36591,10601.3454,6599.427802,8949.120508,9373.389579
metab_16255,14707.3417,16697.74284,19449.8014,20169.74784,14953.14708,23142.9851,58214.87758,48193.26456,48056.24164,31845.42786,51978.43244,49325.17451
